species	date_collected	plot	sex	weight_by_gram	calibrated					
DM	2013-07-16	2	F	-	Yes					
DM	2013-07-16	7	M	33	Yes					
DM	2013-07-16	3	M	-	Yes					
DM	2013-07-16	1	M	-	Yes					
DM	2013-07-18	3	M	40	Yes					
DM	2013-07-18	7	M	48	Yes					
DM	2013-07-18	4	F	29	Yes					
DM	2013-07-18	6	F	37	Yes					
DO	2013-08-19	8	F	52	Yes					
DO	2013-10-17	3	F	33	Yes					
DO	2013-10-17	3	F	50	Yes					
DO	2013-12-10	9	F	40	Yes					
DO	2013-12-10	1	M	45	Yes					
DO	2013-12-11	8	F	41	Yes					
DS	2013-11-12	9	F	117	Yes					
DS	2013-11-13	11	F	126	Yes					
DS	2013-11-13	17	M	132	No					
DS	2013-11-13	14	F	113	No					
DS	2013-11-13	11	F	122	Yes					
DS	2013-11-13	4	F	107	Yes					
DS	2013-11-13	4	F	115	Yes					
DM	2014-01-09	1	M	40	Yes					
DM	2014-01-09	1	F	36	Yes					
DM	2014-03-13	1	F	51	Yes					
DM	2014-03-13	1	F	44	Yes					
DS	2014-03-13	1	F	146	Yes					
NA	2014-01-08	2	-	-	Yes					
DM	2014-01-08	2	M	44	Yes					
PF	2014-01-08	2	F	7	Yes					
DM	2014-01-08	2	M	45	Yes					
OT	2014-01-08	2	-	-	Yes					
DS	2014-01-08	2	M	157	No					
OX	2014-01-08	2	-	-	Yes					
NA	2014-02-18	2	M	218	No					
PF	2014-02-18	2	F	7	Yes					
DM	2014-02-18	2	M	52	Yes					
PF	2015-03-11	3	M	8	Yes					
NA	2015-04-08	3	F	-	Yes					
-	2015-05-06	3	-	-	Yes					
NA	2015-05-18	3	F	182	Yes					
OT	2015-06-09	3	F	29	Yes					
NA	2015-07-08	3	F	115	Yes					
NA	2015-07-08	3	M	190	Yes					
DM	1978-01-08	4	F	37	Yes					
DM	1978-01-08	4	M	-	Yes					
DM	1978-01-08	4	F	48	Yes					
DO	1978-01-08	4	M	52	Yes					
OL	1978-01-08	4	M	35	Yes					
										
										
